ExportDate,DistanceLeft,DistanceRight
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,634.75,634.75
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,635.49,635.49
2/24/2020,,
2/24/2020,,
2/24/2020,635.49,635.49
2/24/2020,,
2/24/2020,635.47,635.47
2/24/2020,,
2/24/2020,635.46,635.46
2/24/2020,635.45,635.45
2/24/2020,,
2/24/2020,636.24,636.24
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,636.22,636.22
2/24/2020,,
2/24/2020,636.21,636.21
2/24/2020,636.2,636.2
2/24/2020,,
2/24/2020,636.19,636.19
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,637.0,637.0
2/24/2020,,
2/24/2020,,
2/24/2020,636.98,636.98
2/24/2020,636.98,636.98
2/24/2020,636.98,636.98
2/24/2020,637.04,637.04
2/24/2020,,
2/24/2020,381.78,381.78
2/24/2020,381.59,381.59
2/24/2020,,
2/24/2020,381.58,381.58
2/24/2020,381.6,381.6
2/24/2020,,
2/24/2020,382.09,382.09
2/24/2020,,
2/24/2020,383.1,383.1
2/24/2020,382.1,382.1
2/24/2020,383.09,383.09
2/24/2020,382.08,382.08
2/24/2020,382.1,382.1
2/24/2020,382.39,382.39
2/24/2020,,
2/24/2020,382.39,382.39
2/24/2020,382.39,382.39
2/24/2020,382.39,382.39
2/24/2020,,0.0
2/24/2020,382.4,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,382.39,382.39
2/24/2020,382.4,382.4
2/24/2020,,
2/24/2020,383.01,383.01
2/24/2020,,
2/24/2020,383.01,383.01
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,383.01,383.01
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,383.02,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,638.98,638.98
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,639.82,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,639.85,639.85
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,639.87,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,642.5,642.5
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,644.05,644.05
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,644.05,644.05
2/24/2020,644.05,644.05
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,644.04,644.04
2/24/2020,,
2/24/2020,644.04,644.04
2/24/2020,,
2/24/2020,644.04,644.04
2/24/2020,,
2/24/2020,,
2/24/2020,645.37,645.37
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,645.35,645.35
2/24/2020,645.36,645.36
2/24/2020,645.36,645.36
2/24/2020,,0.0
2/24/2020,645.37,645.37
2/24/2020,,0.0
2/24/2020,645.38,645.38
2/24/2020,644.87,644.87
2/24/2020,645.14,645.14
2/24/2020,645.94,645.94
2/24/2020,645.94,645.94
2/24/2020,645.95,645.95
2/24/2020,645.17,645.17
2/24/2020,645.43,645.43
2/24/2020,645.57,645.57
2/24/2020,645.18,645.18
2/24/2020,645.18,645.18
2/24/2020,645.18,645.18
2/24/2020,645.19,645.19
2/24/2020,645.59,645.59
2/24/2020,645.59,645.59
2/24/2020,645.59,645.59
2/24/2020,645.59,645.59
2/24/2020,644.68,644.68
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,644.69,644.69
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.04,647.04
2/24/2020,647.06,647.06
2/24/2020,647.06,647.06
2/24/2020,647.06,647.06
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.47,647.47
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.09,647.09
2/24/2020,647.1,647.1
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,645.31,645.31
2/24/2020,645.84,645.84
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,,0.0
2/24/2020,645.86,645.86
2/24/2020,645.87,645.87
2/24/2020,645.87,645.87
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,645.89,645.89
2/24/2020,,0.0
2/24/2020,647.6,647.6
2/24/2020,648.0,648.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,646.98,646.98
2/24/2020,,0.0
2/24/2020,646.2,646.2
2/24/2020,,0.0
2/24/2020,646.21,646.21
2/24/2020,646.21,646.21
2/24/2020,,0.0
2/24/2020,646.22,646.22
2/24/2020,,0.0
2/24/2020,646.23,646.23
2/24/2020,646.23,646.23
2/24/2020,646.23,646.23
2/24/2020,,0.0
2/24/2020,647.83,647.83
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.73,647.73
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,646.26,646.26
2/24/2020,646.79,646.79
2/24/2020,,0.0
2/24/2020,646.8,646.8
2/24/2020,646.8,646.8
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.4,647.4
2/24/2020,647.8,647.8
2/24/2020,647.4,647.4
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.41,647.41
2/24/2020,647.41,647.41
2/24/2020,,0.0
2/24/2020,647.41,647.41
2/24/2020,647.42,647.42
2/24/2020,,0.0
2/24/2020,647.42,647.42
2/24/2020,,
2/24/2020,647.42,647.42
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,647.43,647.43
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,647.43,647.43
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,646.49,646.49
2/24/2020,647.29,647.29
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,647.4,647.4
2/24/2020,646.48,646.48
2/24/2020,647.41,647.41
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,
2/24/2020,387.65,387.65
2/24/2020,387.65,387.65
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,387.64,387.64
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,385.49,385.49
2/24/2020,387.12,
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,386.82,386.82
2/24/2020,386.82,386.82
2/24/2020,,0.0
2/24/2020,386.81,
2/24/2020,,0.0
2/24/2020,386.81,386.81
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,386.8,386.8
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,644.65,644.65
2/24/2020,644.65,644.65
2/24/2020,644.65,644.65
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,644.65,644.65
2/24/2020,644.65,644.65
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,644.64,644.64
2/24/2020,,0.0
2/24/2020,644.64,644.64
2/24/2020,,0.0
2/24/2020,644.64,644.64
2/24/2020,644.64,644.64
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,644.63,644.63
2/24/2020,644.63,644.63
2/24/2020,644.63,644.63
2/24/2020,644.63,644.63
2/24/2020,644.62,644.62
2/24/2020,645.28,645.28
2/24/2020,645.28,645.28
2/24/2020,645.27,645.27
2/24/2020,,0.0
2/24/2020,645.67,645.67
2/24/2020,644.09,644.09
2/24/2020,644.08,644.08
2/24/2020,643.83,643.83
2/24/2020,643.82,643.82
2/24/2020,643.82,643.82
2/24/2020,,0.0
2/24/2020,643.82,643.82
2/24/2020,,0.0
2/24/2020,643.81,643.81
2/24/2020,643.82,643.82
2/24/2020,643.81,643.81
2/24/2020,643.81,643.81
2/24/2020,643.8,643.8
2/24/2020,644.83,644.83
2/24/2020,644.82,644.82
2/24/2020,644.82,644.82
2/24/2020,644.82,644.82
2/24/2020,644.03,644.03
2/24/2020,644.03,644.03
2/24/2020,644.03,644.03
2/24/2020,643.01,643.01
2/24/2020,643.01,643.01
2/24/2020,643.0,643.0
2/24/2020,,0.0
2/24/2020,643.0,643.0
2/24/2020,643.0,643.0
2/24/2020,,0.0
2/24/2020,,0.0
2/24/2020,642.99,642.99
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,642.98,642.98
2/24/2020,642.98,642.98
2/24/2020,642.98,642.98
2/24/2020,642.97,642.97
2/24/2020,642.34,642.34
2/24/2020,,0.0
2/24/2020,642.73,642.73
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,,
2/24/2020,642.75,642.75
2/24/2020,642.99,642.99
2/24/2020,643.0,643.0
2/24/2020,,0.0
2/24/2020,643.0,643.0
2/24/2020,,0.0
2/24/2020,,
2/24/2020,,
2/24/2020,643.0,643.0
2/24/2020,643.01,643.01
2/24/2020,643.01,643.01
2/24/2020,643.02,643.02
2/24/2020,643.01,643.01
2/24/2020,,0.0
2/24/2020,643.02,643.02
2/24/2020,643.02,643.02
2/24/2020,643.02,643.02
2/24/2020,643.02,643.02
2/24/2020,642.24,642.24
2/24/2020,,0.0
2/24/2020,642.24,642.24
2/24/2020,643.04,643.04
2/24/2020,,0.0
2/24/2020,643.04,643.04
2/24/2020,643.04,643.04
2/24/2020,,0.0
